state,year,cons,sturate,naturate,perinc,emppop,beertax,bapt,mormon,dage,dry,yngdrv,vmiles,breath,jaild,mrall,mralln,mra1820,mra2124,miles
1,1982,1.370000005,14.39999962,9.699999809,10544.15234,50.69203949,1.539379478,30.35569954,0.328289986,19,25.00629997,0.211572006,7233.887207,0,0,0.000212836,3.7037E-05,0.000446845,0.000413793,28516
1,1983,1.360000014,13.69999981,9.600000381,10732.79785,52.14702988,1.788990736,30.33359909,0.343409985,19,22.99419975,0.210767999,7836.347656,0,0,0.000234848,3.88889E-05,0.000492868,0.000427586,31032
1,1984,1.320000052,11.10000038,7.5,11108.79102,54.16808701,1.714285612,30.31150055,0.359239995,19,24.04260063,0.211484,8262.990234,0,0,0.000233643,4.13638E-05,0.000475259,0.000409722,32961
1,1985,1.279999971,8.899999619,7.199999809,11332.62695,55.27113724,1.652542353,30.28949928,0.37579,19.67000008,23.63389969,0.211140007,8726.916992,0,0,0.000219348,3.63094E-05,0.000466529,0.000401408,35091
1,1986,1.230000019,9.800000191,7,11661.50684,56.51449585,1.609907031,30.26740074,0.393110007,21,23.4647007,0.213400006,8952.853516,0,0,0.000266914,4.24691E-05,0.000566038,0.000452471,36259
1,1987,1.179999948,7.800000191,6.199999809,11944,57.50988007,1.559999943,30.24530029,0.411229998,21,23.79240036,0.215526998,9166.301758,0,0,0.000271859,4.43301E-05,0.00060766,0.000532819,37426
1,1988,1.169999957,7.199999809,5.5,12368.62402,56.83452988,1.501443624,30.22330093,0.430180013,21,23.79240036,0.218327999,9674.323242,0,0,0.000249391,3.38859E-05,0.00054404,0.000467681,39684
4,1982,1.970000029,9.899999619,9.699999809,12309.06934,56.89329529,0.214797139,3.958899975,4.919099808,19,0,0.209012002,6810.156738,0,1,0.000249914,4.52192E-05,0.000517973,0.000440367,19729
4,1983,1.899999976,9.100000381,9.600000381,12693.80762,57.55363083,0.206422031,3.890100002,4.831069946,19,0,0.203854993,6587.494629,0,1,0.000226738,3.76218E-05,0.000526912,0.000365297,19611
4,1984,2.140000105,5,7.5,13265.93359,60.37902069,0.296703309,3.822599888,4.744609833,19,0,0.209126994,6709.970215,0,1,0.000282878,4.85026E-05,0.00074367,0.000559091,20613
4,1985,1.860000014,6.5,7.199999809,13726.69531,58.64853287,0.381355941,3.756200075,4.65970993,21,0,0.188428,6771.262695,0,1,0.000280201,4.70662E-05,0.000625657,0.00055,21580
4,1986,1.779999971,6.900000095,7,14107.32715,60.28018188,0.371517032,3.690999985,4.576320171,21,0,0.171538994,8129.007813,0,1,0.000307106,5.276E-05,0.000645963,0.000616114,26655
