age,sex,wage,ed
30,1,12.01923084,13
30,1,9.857142448,12
30,1,8.241758347,12
29,2,10.09615421,12
30,1,24.03846169,14
30,1,23.66863823,16
30,1,28.84615326,12
29,2,13.73626328,14
29,1,12.01923084,16
29,1,15.38461494,13
29,1,8.461538315,12
29,1,13.46153831,13
30,2,15.625,12
29,2,12.98076916,12
29,1,13.46153831,14
29,1,20.67307663,13
29,1,28.84615326,16
29,1,28.50961494,18
30,2,38.46154022,18
29,1,11.53846169,9
29,1,24.03846169,13
30,1,7.692307472,12
30,2,17.30769157,12
29,2,27.88461494,16
29,1,3.076923132,13
30,2,26.44230843,16
29,2,9.134614944,13
30,1,12.01923084,10
29,1,4.807692528,16
29,2,15.86538506,12
30,2,17.78846169,16
29,1,38.46154022,18
29,1,10.74113846,16
30,2,13.46153831,12
30,1,15.74951935,13
29,2,12.5,13
30,1,28.84615326,12
30,1,11,12
29,2,11.21794891,13
30,1,26.62721825,16
30,2,20.67307663,18
29,2,4.807692528,12
30,2,16.82692337,13
29,1,14.42307663,18
30,1,24.03846169,16
29,1,30.28846169,16
30,1,26.44230843,16
29,1,14.42307663,14
30,2,32.05128098,16
30,1,15.76576614,13
29,1,21.2550602,16
30,1,4.807692528,16
30,1,22.22222137,16
30,2,13,14
30,2,8.012820244,12
29,2,12.01923084,12
30,1,21.63461494,12
30,1,9.615385056,16
30,1,22.59615326,18
29,1,15.38461494,12
29,1,28.84615326,18
29,1,14.42307663,12
30,1,8.653845787,18
30,2,7.211538315,16
29,1,30.76922989,12
30,2,13.73626328,16
30,1,31.73077011,14
30,1,9.615385056,12
30,2,31.25,16
30,1,20.67307663,16
29,2,15.86538506,14
29,1,9.25,13
30,1,14.9572649,12
30,2,19.71153831,18
29,1,4.807692528,16
29,1,26.22377586,12
29,2,11.05769253,13
30,2,15.86538506,16
30,2,17.48251724,18
29,2,17.58241844,14
30,1,16.15384674,14
29,2,21.63461494,12
30,1,41.34615326,13
30,2,13.22115421,12
30,2,14.55301476,12
29,2,19.23077011,16
29,2,19.23077011,13
30,2,10.43956089,12
30,2,9.134614944,10
29,2,12.01923084,13
29,1,15.73426533,12
29,2,4.326922894,12
30,2,5.769230843,12
30,2,13,13
29,2,38.90876389,16
29,2,17.09401703,16
29,2,21.63461494,18
29,2,12.01923084,16
30,2,14.9572649,12
30,1,12.69230747,13
29,1,7.211538315,14
30,2,8.17307663,12
30,2,6.875,10
29,2,12.01923084,13
29,2,19.23077011,12
30,2,15.38461494,12
30,2,20.38461494,16
30,1,11.53846169,14
29,1,13,16
30,2,15.93406582,18
30,1,14.61538506,18
30,1,15.38461494,13
29,1,12.01923084,12
30,2,11,16
30,1,26.44230843,16
29,1,9.615385056,16
29,1,23.78542519,16
30,2,7.884615421,13
30,1,14.14027119,13
29,1,3.525640965,12
29,1,24.57202721,16
29,1,19.23077011,13
30,2,26.92307663,16
29,2,23.07692337,18
29,1,29.9145298,12
30,1,28.84615326,12
29,1,15.38461494,13
30,1,21.67832184,16
29,1,19.23077011,12
30,1,69.00989532,18
30,1,14.61538506,16
30,1,38.46154022,18
29,2,36.05769348,18
29,1,26.44230843,16
30,1,83.17308044,16
30,1,26.92307663,12
30,1,73.93162537,16
30,2,21.91413307,16
30,1,45.67307663,13
30,1,21.53846169,16
30,2,10.88888931,16
30,2,23.07692337,16
30,2,31.25,16
29,2,18.07692337,18
30,2,9.615385056,13
30,1,16.34615326,12
30,2,4.808653831,16
30,2,13.15789509,12
30,2,21.63461494,16
30,2,13.56275272,16
29,1,30.76922989,16
30,2,25,13
30,1,14.42307663,13
29,1,15.38461494,18
29,1,28.84615326,14
29,1,10.38461494,13
29,1,32.96703339,12
29,2,19.23077011,12
29,1,11.53846169,12
30,1,43.26922989,16
29,1,26.49572563,16
30,1,30.76922989,14
29,1,14.42307663,16
29,1,9.615385056,14
29,2,24.07407379,12
30,1,21.63461494,13
30,2,14.10256386,18
29,2,29.45055008,18
30,2,10.57692337,13
30,2,5.494505405,12
30,1,8.505917549,13
29,2,26.44230843,16
30,1,28.84615326,16
29,2,7.211538315,14
30,1,30.44871712,12
30,1,8.17307663,16
29,1,22.59615326,13
29,1,28.84615326,12
29,1,14.42307663,14
30,1,14.42307663,12
29,1,13.94230747,12
30,1,58,16
29,1,6.971153736,12
29,1,14.9572649,16
29,2,18.75,12
29,2,15.86538506,12
29,1,22.30769157,13
29,1,29.5,12
29,1,9.615385056,8
30,1,47.75249863,16
30,1,21.53846169,12
29,2,12.82051277,16
30,1,28.84615326,12
29,1,38.46154022,16
29,1,12.25,14
30,2,36.71328735,16
29,1,26.44230843,16
29,2,22.30769157,18
29,1,28.69822502,18
29,2,24.72527504,16
30,1,23.4265728,16
30,1,16.82692337,8
30,1,10.39500999,11
29,2,40.59828949,18
29,1,4.807692528,12
30,1,7.211538315,12
30,1,60.76922989,16
29,2,19.23077011,14
29,2,27.47252655,16
29,2,33.65384674,16
29,1,29.4871788,16
29,1,18.46153831,13
30,1,17.09401703,16
30,2,20,13
30,2,27.88461494,16
30,1,12.82051277,14
29,1,15.38461494,12
