amount,value,income,denied,white,badcredit,ed,single,selfemp
88,110,53,0,1,0,15,0,0
118,128,51,0,1,0,18,1,0
185,201,99,0,1,0,12,0,0
185,215,110,0,1,0,12,0,0
330,550,129,0,1,0,20,0,0
97,190,65,0,1,0,16,0,0
56,75,30,0,1,0,14,1,0
187,220,107,0,1,0,16,0,0
131,146,69,1,1,0,12,0,0
80,223,72,0,1,0,16,1,0
30,134,30,0,1,0,14,1,0
155,225,62,0,1,0,16,1,0
100,186,53,1,1,0,18,0,0
289,445,116,0,1,0,18,0,0
58,160,54,0,1,0,14,0,0
130,156,55,0,1,0,17,0,0
180,280,100,0,1,0,16,0,0
70,160,35,0,1,0,14,0,0
143,180,60,0,1,0,16,0,0
124,155,48,0,1,0,18,1,0
147,164,59,1,1,1,20,0,0
123,140,51,0,1,0,13,0,0
105,136,48,0,1,0,16,1,0
264,293,107,0,1,0,16,0,0
142,217,58,0,1,0,14,1,0
85,135,100,0,1,0,20,1,0
102,114,41,0,1,0,16,1,0
100,206,56,0,1,0,17,1,0
150,158,67,0,1,0,12,0,0
180,202,99,0,0,0,17,1,0
120,139,55,0,1,0,12,1,0
175,245,105,0,1,0,16,0,0
154,205,93,0,1,0,16,1,0
212,235,105,0,1,0,12,1,0
144,170,56,0,1,0,16,0,0
90,190,42,0,1,0,16,0,0
183,266,23,0,1,0,16,0,0
123,137,104,0,0,0,12,0,0
207,235,93,0,1,0,18,0,0
149,162,53,0,1,0,14,1,0
103,110,43,0,1,0,12,0,0
54,84,44,0,1,0,12,0,0
170,115,59,1,1,0,18,0,0
216,300,89,1,1,0,16,0,0
80,118,32,0,1,1,16,1,0
135,150,75,0,1,0,16,0,0
136,170,64,1,1,1,16,0,0
111,130,56,0,0,0,14,1,0
138,186,57,1,1,0,12,0,1
100,148,43,0,1,0,12,1,0
112,174,42,0,1,0,19,1,0
160,170,91,0,1,0,19,0,0
115,157,174,0,1,0,16,1,0
148,162,64,0,1,0,12,1,0
29,140,61,0,1,0,17,0,0
114,122,48,0,1,1,16,0,0
131,145,48,0,1,1,14,0,0
111,123,44,0,1,0,16,1,0
100,157,38,0,1,0,14,1,1
70,91,33,0,1,0,14,1,0
150,200,58,0,1,0,20,0,0
156,195,72,0,1,0,13,1,0
120,135,59,0,1,0,12,0,0
100,133,59,0,1,0,14,0,0
135,151,65,0,1,0,18,0,0
130,200,66,0,0,0,12,0,1
142,151,69,0,1,0,17,0,0
100,235,36,0,1,0,16,0,0
76,112,34,0,1,0,18,1,0
115,130,55,0,1,0,20,1,0
139,148,63,0,1,0,18,0,0
74,82,38,0,1,0,12,0,0
110,149,48,0,1,0,12,1,0
170,189,98,0,1,0,16,0,0
80,118,57,0,1,0,16,0,0
146,182,200,0,1,0,18,0,1
99,179,76,0,1,0,12,0,0
187,287,85,0,1,0,20,0,0
76,91,38,1,1,1,12,0,0
80,102,47,0,1,0,16,1,0
140,210,58,0,1,0,16,0,0
141,176,82,0,1,0,17,1,1
135,153,56,1,0,0,12,0,0
121,134,52,1,1,0,15,1,0
105,159,45,0,1,0,14,0,0
115,154,57,0,1,0,12,0,1
152,198,92,1,0,0,12,0,0
68,80,26,0,1,0,14,1,0
128,135,71,0,1,0,12,0,0
50,115,25,0,1,0,12,1,0
127,143,49,1,0,0,14,0,0
72,92,45,0,1,0,16,1,0
92,115,47,0,1,0,12,0,0
160,219,79,0,1,0,20,1,0
183,231,90,0,1,0,15,0,1
47,81,24,0,1,0,16,1,0
105,165,43,0,1,0,12,0,0
149,170,60,0,1,0,16,0,0
106,133,61,0,1,0,16,0,0
83,90,43,0,1,0,12,0,0
148,197,60,0,1,0,13,0,0
100,150,35,0,1,0,15,1,0
115,135,57,0,1,0,14,1,0
84,113,34,0,1,0,19,1,1
148,185,164,0,1,0,12,0,0
119,128,40,1,1,0,16.5,1,0
131,142,64,0,1,0,17,0,0
112,140,60,0,1,0,14,1,1
